Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:01:35,125,3.5,17:09,,1968,,60.80,,,
,00:01:36,125,3.5,17:09,,1968,,61.80,,,
,00:01:37,124,3.5,17:09,,1968,,62.80,,,
,00:01:38,124,3.5,17:09,,1968,,64.00,,,
,00:01:39,124,3.5,17:09,,1968,,65.00,,,
,00:01:40,124,3.5,17:09,,1968,,65.90,,,
,00:01:41,124,3.5,17:09,,1968,,66.90,,,
,00:01:42,124,3.5,17:09,,1968,,67.60,,,
,00:01:43,124,3.5,17:09,,1968,,68.50,,,
,00:01:44,124,3.5,17:09,,1968,,69.50,,,
,00:01:45,124,3.5,17:09,,1968,,70.50,,,
,00:01:46,124,3.5,17:09,,1968,,71.50,,,
,00:01:47,124,3.5,17:09,,1968,,72.60,,,
,00:01:48,124,3.5,17:09,,1968,,73.50,,,
,00:01:49,124,3.6,16:40,,1969,,74.70,,,
,00:01:50,123,3.6,16:40,,1969,,75.90,,,
,00:01:51,123,3.6,16:40,,1969,,77.20,,,
,00:01:52,123,3.7,16:13,,1969,,78.30,,,
,00:01:53,123,3.7,16:13,,1969,,79.40,,,
,00:01:54,123,3.7,16:13,,1969,,80.50,,,
,00:01:55,123,3.8,15:47,,1969,,81.70,,,
,00:01:56,123,3.8,15:47,,1969,,82.70,,,
,00:01:57,123,3.8,15:47,,1969,,83.90,,,
,00:01:58,123,3.8,15:47,,1969,,84.90,,,
,00:01:59,123,3.8,15:47,,1969,,85.90,,,
,00:02:00,123,3.8,15:47,,1969,,86.90,,,
,00:02:01,124,3.7,16:13,,1969,,87.80,,,
,00:02:02,124,3.8,15:47,,1969,,88.80,,,
,00:02:03,124,3.8,15:47,,1969,,90.10,,,
,00:02:04,124,3.8,15:47,,1969,,91.20,,,
,00:02:05,125,3.9,15:23,,1969,,92.40,,,
,00:02:06,125,3.9,15:23,,1969,,93.60,,,
,00:02:07,125,3.9,15:23,,1969,,94.80,,,
,00:02:08,125,3.9,15:23,,1969,,95.80,,,
,00:02:09,125,3.9,15:23,,1969,,97.00,,,
,00:02:10,126,3.9,15:23,,1969,,98.10,,,
,00:02:11,126,3.9,15:23,,1969,,99.10,,,
,00:02:12,126,3.9,15:23,,1969,,99.80,,,
,00:02:13,127,3.8,15:47,,1969,,100.80,,,
,00:02:14,127,3.8,15:47,,1970,,101.90,,,
,00:02:15,127,3.8,15:47,,1970,,102.80,,,
,00:02:16,127,3.8,15:47,,1970,,103.70,,,
,00:02:17,127,3.8,15:47,,1970,,104.80,,,
,00:02:18,127,3.8,15:47,,1970,,105.80,,,
,00:02:19,127,3.8,15:47,,1970,,107.00,,,
,00:02:20,127,3.8,15:47,,1970,,108.00,,,
,00:02:21,127,3.8,15:47,,1970,,109.00,,,
,00:02:22,127,3.8,15:47,,1970,,110.00,,,
,00:02:23,127,3.8,15:47,,1971,,110.80,,,
,00:02:24,126,3.7,16:13,,1971,,111.70,,,
,00:02:25,126,3.7,16:13,,1971,,112.50,,,
,00:02:26,127,3.7,16:13,,1971,,113.40,,,
,00:02:27,127,3.7,16:13,,1971,,114.30,,,
,00:02:28,128,3.6,16:40,,1971,,114.90,,,
,00:02:29,129,3.4,17:39,,1971,,115.50,,,
,00:02:30,129,3.2,18:45,,1971,,115.90,,,
,00:02:31,130,3.0,20:00,,1971,,116.10,,,
,00:02:32,131,2.5,24:00,,1971,,116.30,,,
,00:02:33,132,2.2,27:16,,1972,,116.80,,,
,00:02:34,132,2.1,28:34,,1972,,116.90,,,
,00:02:35,133,2.3,26:05,,1972,,117.20,,,
,00:02:36,133,2.4,25:00,,1972,,117.60,,,
,00:02:37,133,2.6,23:05,,1972,,118.80,,,
,00:02:38,133,2.8,21:26,,1972,,119.80,,,
,00:02:39,133,3.0,20:00,,1972,,120.90,,,
,00:02:40,133,3.1,19:21,,1972,,122.00,,,
,00:02:41,133,3.2,18:45,,1972,,123.30,,,
,00:02:42,133,3.2,18:45,,1972,,124.80,,,
,00:02:43,133,3.2,18:45,,1972,,126.20,,,
,00:02:44,133,3.3,18:11,,1973,,127.30,,,
,00:02:45,133,3.3,18:11,,1973,,128.30,,,
,00:02:46,133,3.4,17:39,,1973,,129.10,,,
,00:02:47,133,3.4,17:39,,1973,,130.30,,,
,00:02:48,133,3.5,17:09,,1973,,131.60,,,
,00:02:49,133,3.5,17:09,,1973,,132.70,,,
,00:02:50,133,3.6,16:40,,1973,,134.10,,,
,00:02:51,133,3.6,16:40,,1973,,135.30,,,
,00:02:52,132,3.6,16:40,,1973,,136.70,,,
,00:02:53,132,3.7,16:13,,1974,,138.10,,,
,00:02:54,132,3.7,16:13,,1974,,139.50,,,
,00:02:55,132,3.8,15:47,,1974,,140.60,,,
,00:02:56,132,3.8,15:47,,1974,,141.50,,,
,00:02:57,132,3.7,16:13,,1974,,142.10,,,
,00:02:58,132,3.6,16:40,,1974,,142.80,,,
,00:02:59,132,3.5,17:09,,1974,,143.10,,,
,00:03:00,132,0.0,00:00,,1974,,143.10,,,
,00:03:01,132,0.0,00:00,,1974,,143.10,,,
,00:03:02,132,0.0,00:00,,1974,,143.10,,,
,00:03:03,132,0.0,00:00,,1974,,143.10,,,
,00:03:04,132,0.0,00:00,,1974,,143.10,,,
,00:03:05,132,1.2,50:00,,1974,,143.10,,,
,00:03:06,131,2.0,30:00,,1974,,143.10,,,
,00:03:07,131,2.6,23:05,,1974,,143.10,,,
,00:03:08,130,2.8,21:26,,1974,,143.10,,,
,00:03:09,129,2.9,20:41,,1974,,143.10,,,
,00:03:10,127,3.0,20:00,,1974,,144.00,,,
,00:03:11,125,3.4,17:39,,1974,,145.20,,,
,00:03:12,123,3.6,16:40,,1974,,146.70,,,
,00:03:13,121,3.6,16:40,,1974,,148.00,,,
,00:03:14,121,2.9,20:41,,1974,,149.00,,,
,00:03:15,120,2.0,30:00,,1974,,149.60,,,
,00:03:16,119,1.4,42:51,,1974,,150.20,,,
,00:03:17,118,1.3,46:09,,1974,,150.50,,,
,00:03:18,117,1.6,37:30,,1974,,151.00,,,
,00:03:19,116,2.1,28:34,,1974,,151.40,,,
,00:03:20,116,2.2,27:16,,1974,,152.00,,,
,00:03:21,115,2.4,25:00,,1974,,152.50,,,
,00:03:22,115,2.6,23:05,,1974,,153.30,,,
,00:03:23,115,2.9,20:41,,1974,,154.60,,,
,00:03:24,115,3.1,19:21,,1974,,155.90,,,
,00:03:25,115,3.3,18:11,,1974,,157.20,,,
,00:03:26,115,3.4,17:39,,1974,,158.70,,,
,00:03:27,116,3.4,17:39,,1974,,159.90,,,
,00:03:28,117,3.3,18:11,,1974,,161.00,,,
,00:03:29,118,3.3,18:11,,1974,,161.80,,,
,00:03:30,118,3.4,17:39,,1974,,162.80,,,
,00:03:31,119,3.4,17:39,,1974,,163.80,,,
,00:03:32,119,3.5,17:09,,1974,,164.60,,,
,00:03:33,119,3.6,16:40,,1974,,165.70,,,
,00:03:34,119,3.6,16:40,,1974,,166.70,,,
,00:03:35,119,3.7,16:13,,1974,,167.80,,,
,00:03:36,119,3.7,16:13,,1974,,169.10,,,
,00:03:37,119,3.8,15:47,,1974,,170.40,,,
,00:03:38,118,3.8,15:47,,1974,,171.80,,,
,00:03:39,118,3.8,15:47,,1974,,172.80,,,
,00:03:40,118,3.8,15:47,,1974,,173.90,,,
,00:03:41,117,4.0,15:00,,1974,,175.10,,,
,00:03:42,117,4.0,15:00,,1974,,176.40,,,
,00:03:43,116,4.1,14:38,,1974,,177.60,,,
,00:03:44,116,4.1,14:38,,1974,,178.80,,,
,00:03:45,115,4.1,14:38,,1974,,179.90,,,
,00:03:46,115,4.0,15:00,,1974,,180.80,,,
,00:03:47,115,4.0,15:00,,1974,,181.70,,,
,00:03:48,115,3.9,15:23,,1974,,182.90,,,
,00:03:49,115,3.9,15:23,,1974,,184.10,,,
,00:03:50,115,3.9,15:23,,1974,,185.20,,,
,00:03:51,115,4.0,15:00,,1974,,186.20,,,
,00:03:52,115,4.0,15:00,,1974,,187.30,,,
,00:03:53,115,4.0,15:00,,1974,,188.30,,,
,00:03:54,115,4.0,15:00,,1974,,189.30,,,
,00:03:55,115,4.0,15:00,,1974,,190.50,,,
,00:03:56,115,4.0,15:00,,1974,,191.80,,,
,00:03:57,115,4.0,15:00,,1974,,193.00,,,
,00:03:58,115,4.0,15:00,,1974,,194.10,,,
,00:03:59,115,4.0,15:00,,1974,,195.20,,,
,00:04:00,115,4.0,15:00,,1973,,196.30,,,
,00:04:01,114,4.0,15:00,,1973,,197.50,,,
,00:04:02,114,4.0,15:00,,1973,,198.80,,,
,00:04:03,114,4.1,14:38,,1973,,200.20,,,
,00:04:04,114,4.1,14:38,,1973,,201.90,,,
,00:04:05,114,4.3,13:57,,1973,,203.20,,,
,00:04:06,114,4.3,13:57,,1973,,204.60,,,
,00:04:07,114,4.3,13:57,,1973,,206.00,,,
,00:04:08,114,4.4,13:38,,1973,,207.40,,,
,00:04:09,113,4.5,13:20,,1973,,209.00,,,
,00:04:10,113,4.6,13:03,,1973,,210.60,,,
,00:04:11,113,4.6,13:03,,1973,,212.20,,,
,00:04:12,113,4.7,12:46,,1973,,213.30,,,
,00:04:13,113,4.7,12:46,,1973,,214.40,,,
,00:04:14,113,4.7,12:46,,1973,,215.60,,,
,00:04:15,113,4.7,12:46,,1973,,217.00,,,
,00:04:16,113,4.7,12:46,,1973,,218.50,,,
,00:04:17,113,4.7,12:46,,1973,,219.90,,,
,00:04:18,113,4.7,12:46,,1973,,221.10,,,
,00:04:19,113,4.7,12:46,,1973,,222.20,,,
,00:04:20,113,4.7,12:46,,1973,,223.40,,,
,00:04:21,113,4.7,12:46,,1973,,224.90,,,
,00:04:22,113,4.7,12:46,,1973,,226.40,,,
,00:04:23,112,4.8,12:30,,1973,,227.70,,,
,00:04:24,112,4.7,12:46,,1973,,228.90,,,
,00:04:25,112,4.6,13:03,,1973,,229.90,,,
,00:04:26,112,4.5,13:20,,1973,,231.00,,,
,00:04:27,112,4.4,13:38,,1973,,231.90,,,
,00:04:28,112,4.2,14:17,,1973,,233.10,,,
,00:04:29,113,4.2,14:17,,1973,,234.10,,,
,00:04:30,113,4.1,14:38,,1973,,235.20,,,
,00:04:31,113,4.1,14:38,,1973,,236.00,,,
,00:04:32,113,4.1,14:38,,1973,,236.90,,,
,00:04:33,113,4.1,14:38,,1973,,238.00,,,
,00:04:34,113,4.1,14:38,,1973,,239.40,,,
,00:04:35,113,4.2,14:17,,1973,,240.70,,,
,00:04:36,114,4.3,13:57,,1973,,242.10,,,
,00:04:37,114,4.3,13:57,,1973,,243.30,,,
